id,name,layer,lat,lon
0680aabc85aa86b19046a61c4792abcae14e698b6844ee8b881a5d46fc819f28,Spain Med,['country_zone'],39.28061133,-0.798971681
06ca72c72eaf17583009852be70984b890f1b55b53b3d95cb0df2f5a18636fe5,Cabiunas Terminal,['storage_terminal'],-22.3850947,-41.76805917
06cc03b234918105a8a45580bed6b10263488452e315f41149237c4e1b4dd706,"Pascagoula, MS [US]","['port', 'storage']",30.34296651,-88.50693854
06df76ca06f08db92e59929b7ed5fc94a0df38a0a1e46078226fe1f64327dd1c,Germany NWE,['country_zone'],53.10992379,7.973475331
06e729b0abd200cbb762c611c323440d2a2925077aaa9e823648d9564b2a5263,Rafsanjan Oil Depot,['storage_terminal'],27.11246336,56.09784724
06eaa322d163e254d580d86fc853963862345204542aaa346e8678af8d21e079,Sitra Terminal,['storage_terminal'],26.18339911,50.67773355
0722ab14f7bdb32485654292090e43724dc75f4984a33dc80ba1d95803d3cd39,Milazzo [IT],"['port', 'storage']",38.21095745,15.26752119
0740db593935c4f0ed9bcf17e55ea527ad3fc3234eedf2efcbc0de05104c9225,Trainer Refinery,['storage_terminal'],39.80972947,-75.41253348
0745f6e79ad70a5713b1b994c945aa798776c411e7186b4b43101a9d1c0ce68d,Al-Nashima Oil Terminal,['storage_terminal'],13.98033399,47.90830126
07492b151560912565b471452f8baadbf3bc80c73814708053d9e4fb7e6e1401,Bangladesh,['country'],22.34740387,90.4024469
0765e05913960899cdc468a6abcb136de84142552bcacf5f7c3c082f96d93c3c,Prince George [CA],['storage'],53.89412868,-122.7509994
077a254aafcadd436955abbf7f6a269888eb5b833c0d8fc8f96d66117a3ca0f3,Edmonton [CA],['storage'],53.59733257,-113.3727264
0789901c95630c6a51e0f3a93b44a0952c554528a4a616bda38bc0d025f92320,Safaniya Bulk Plant,['storage_terminal'],28.00980196,48.76789009
